study_name,scenario,seed,protocol,protocol_label,node_count,area_size,initial_energy,tx_energy,rx_energy,fs_energy,mp_energy,aggregation_energy,packet_size_bits,control_packet_bits,cluster_head_ratio,radio_range_factor,round_budget,sink_x,sink_y,scenario_name,severity_threshold_normal_max,severity_threshold_warning_max,pdr_denominator,delay_definition,aoi_definition,sensing_schedule,topology_seed,traffic_seed,simulation_seed,cluster_head_rule,join_rule,uses_prediction,uses_aoi_term,uses_suppression,uses_priority_scheduler,priority_scoring_enabled,suppression_description
ablation,rising_warning,7,full_tcn_ppa_leach,TCN-PPA-LEACH,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1024,2026,7,energy_priority_distance,cost_based_priority_join,True,True,True,True,True,routine_packets_only
ablation,rising_warning,7,no_tcn_prediction,No Prediction,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1024,2026,7,energy_priority_distance,cost_based_priority_join,False,True,True,True,True,routine_packets_only
ablation,rising_warning,7,no_aoi_term,No AoI,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1024,2026,7,energy_priority_distance,cost_based_priority_join,True,False,True,True,True,routine_packets_only
ablation,rising_warning,7,no_suppression,No Suppression,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1024,2026,7,energy_priority_distance,cost_based_priority_join,True,True,False,True,True,disabled
ablation,rising_warning,7,no_priority_scheduler,No Priority Scheduler,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1024,2026,7,energy_priority_distance,cost_based_priority_join,True,True,True,False,True,routine_packets_only
ablation,hazardous_spike,7,full_tcn_ppa_leach,TCN-PPA-LEACH,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hazardous_spike,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1041,2045,7,energy_priority_distance,cost_based_priority_join,True,True,True,True,True,routine_packets_only
ablation,hazardous_spike,7,no_tcn_prediction,No Prediction,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hazardous_spike,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1041,2045,7,energy_priority_distance,cost_based_priority_join,False,True,True,True,True,routine_packets_only
ablation,hazardous_spike,7,no_aoi_term,No AoI,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hazardous_spike,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1041,2045,7,energy_priority_distance,cost_based_priority_join,True,False,True,True,True,routine_packets_only
ablation,hazardous_spike,7,no_suppression,No Suppression,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hazardous_spike,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1041,2045,7,energy_priority_distance,cost_based_priority_join,True,True,False,True,True,disabled
ablation,hazardous_spike,7,no_priority_scheduler,No Priority Scheduler,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hazardous_spike,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1041,2045,7,energy_priority_distance,cost_based_priority_join,True,True,True,False,True,routine_packets_only
ablation,hotspot_heavy,7,full_tcn_ppa_leach,TCN-PPA-LEACH,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hotspot_heavy,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1058,2064,7,energy_priority_distance,cost_based_priority_join,True,True,True,True,True,routine_packets_only
ablation,hotspot_heavy,7,no_tcn_prediction,No Prediction,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hotspot_heavy,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1058,2064,7,energy_priority_distance,cost_based_priority_join,False,True,True,True,True,routine_packets_only
ablation,hotspot_heavy,7,no_aoi_term,No AoI,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hotspot_heavy,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1058,2064,7,energy_priority_distance,cost_based_priority_join,True,False,True,True,True,routine_packets_only
ablation,hotspot_heavy,7,no_suppression,No Suppression,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hotspot_heavy,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1058,2064,7,energy_priority_distance,cost_based_priority_join,True,True,False,True,True,disabled
ablation,hotspot_heavy,7,no_priority_scheduler,No Priority Scheduler,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hotspot_heavy,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1058,2064,7,energy_priority_distance,cost_based_priority_join,True,True,True,False,True,routine_packets_only
ablation,rising_warning,11,full_tcn_ppa_leach,TCN-PPA-LEACH,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1028,2030,11,energy_priority_distance,cost_based_priority_join,True,True,True,True,True,routine_packets_only
ablation,rising_warning,11,no_tcn_prediction,No Prediction,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1028,2030,11,energy_priority_distance,cost_based_priority_join,False,True,True,True,True,routine_packets_only
ablation,rising_warning,11,no_aoi_term,No AoI,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1028,2030,11,energy_priority_distance,cost_based_priority_join,True,False,True,True,True,routine_packets_only
ablation,rising_warning,11,no_suppression,No Suppression,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1028,2030,11,energy_priority_distance,cost_based_priority_join,True,True,False,True,True,disabled
ablation,rising_warning,11,no_priority_scheduler,No Priority Scheduler,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,rising_warning,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1028,2030,11,energy_priority_distance,cost_based_priority_join,True,True,True,False,True,routine_packets_only
ablation,hazardous_spike,11,full_tcn_ppa_leach,TCN-PPA-LEACH,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hazardous_spike,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1045,2049,11,energy_priority_distance,cost_based_priority_join,True,True,True,True,True,routine_packets_only
ablation,hazardous_spike,11,no_tcn_prediction,No Prediction,36,100.0,0.09,5e-08,5e-08,1e-11,1.3e-15,5e-09,4000,200,0.12,0.45,260,50.0,50.0,hazardous_spike,50.0,100.0,raw_packets_generated,hop_count_to_sink,increment_per_round_reset_on_successful_delivery,one_sample_per_alive_node_per_round,1045,2049,11,energy_priority_distance,cost_based_priority_join,False,True,True,True,True,routine_packets_only
