scenario,node_id,step,hour,x,y,hotspot_relevance,pm25,pm10,co,no2,temperature,humidity,hour_sin,hour_cos,area_size
normal,1,0,0,2.0218127865816338,38.60660124828331,0.09152586452877784,39.421608159237216,45.622255404098105,0.641874793212444,24.11946368556068,27.798200491166092,54.03739104830882,0.0,1.0,100.0
normal,1,1,1,2.0218127865816338,38.60660124828331,0.09152586452877784,42.250792158647606,58.326462128167,0.6910136177023609,29.345103290708956,24.821077281275247,54.747622895583106,0.25881904510252074,0.9659258262890683,100.0
normal,1,2,2,2.0218127865816338,38.60660124828331,0.09152586452877784,48.659834975424104,63.87331682303072,0.6694095239868711,26.98204395886801,23.11202442995462,62.2248276334862,0.49999999999999994,0.8660254037844387,100.0
normal,1,3,3,2.0218127865816338,38.60660124828331,0.09152586452877784,45.85819418226841,59.77119337599314,0.6696705268697248,24.362531299229147,21.324523930083355,62.87540764785113,0.7071067811865475,0.7071067811865476,100.0
normal,1,4,4,2.0218127865816338,38.60660124828331,0.09152586452877784,47.14627882743458,65.088933132964,0.684416652943177,28.458990539712822,19.86688685345627,72.1219556145969,0.8660254037844386,0.5000000000000001,100.0
normal,1,5,5,2.0218127865816338,38.60660124828331,0.09152586452877784,52.905312147174875,61.914251629406536,0.7326762927360957,28.280516571094974,17.44557698123865,67.73446682528171,0.9659258262890683,0.25881904510252074,100.0
normal,1,6,6,2.0218127865816338,38.60660124828331,0.09152586452877784,52.76809232365723,64.38978710496245,0.672221008918821,29.868758238062657,17.88222808363705,58.88789351958887,1.0,6.123233995736766e-17,100.0
normal,1,7,7,2.0218127865816338,38.60660124828331,0.09152586452877784,49.939656273088,59.61250311889839,0.6144671022899928,24.22821320852491,15.131666625389563,66.03807697220888,0.9659258262890683,-0.25881904510252063,100.0
normal,1,8,8,2.0218127865816338,38.60660124828331,0.09152586452877784,60.92232171473303,82.46389253160507,0.8027905955387703,34.104420119373714,15.861825969646842,67.54316878109125,0.8660254037844387,-0.49999999999999983,100.0
normal,1,9,9,2.0218127865816338,38.60660124828331,0.09152586452877784,57.60438223084402,79.92415865059276,0.744299733266118,30.14857043646891,16.51185430313949,71.7586043843747,0.7071067811865476,-0.7071067811865475,100.0
normal,1,10,10,2.0218127865816338,38.60660124828331,0.09152586452877784,53.754847608971104,87.3303820723563,0.7335757291762725,32.9901595939052,17.503899198363214,71.97341716596623,0.49999999999999994,-0.8660254037844387,100.0
normal,1,11,11,2.0218127865816338,38.60660124828331,0.09152586452877784,51.925789171089015,62.5892082605811,0.6569320843409768,28.965355429856015,15.536671119157338,67.41609931776601,0.258819045102521,-0.9659258262890682,100.0
normal,1,12,12,2.0218127865816338,38.60660124828331,0.09152586452877784,50.66590087741244,69.1069087183976,0.7092241545764998,26.37268959445959,19.227591739442786,62.04286312861447,1.2246467991473532e-16,-1.0,100.0
normal,1,13,13,2.0218127865816338,38.60660124828331,0.09152586452877784,51.60881594329252,72.98709472493584,0.6350623614003716,25.421000077577407,22.08801180470427,67.76205846088445,-0.2588190451025208,-0.9659258262890683,100.0
normal,1,14,14,2.0218127865816338,38.60660124828331,0.09152586452877784,54.96276849583329,66.65820294645697,0.7916136427657005,29.479381802862875,23.222246373819445,65.06149739580837,-0.4999999999999998,-0.8660254037844388,100.0
normal,1,15,15,2.0218127865816338,38.60660124828331,0.09152586452877784,56.26438211604653,81.0408385031616,0.6974933291854476,27.40160808190159,26.111370822289526,63.103045330503114,-0.7071067811865471,-0.7071067811865479,100.0
normal,1,16,16,2.0218127865816338,38.60660124828331,0.09152586452877784,52.05457299371548,76.03572571506425,0.7926062469723433,29.206210424362126,27.15376862899045,54.69403368770701,-0.8660254037844384,-0.5000000000000004,100.0
normal,1,17,17,2.0218127865816338,38.60660124828331,0.09152586452877784,51.80360465638166,69.40991625112987,0.7730686580650445,27.183237556679856,28.044816531892096,54.84268972489081,-0.9659258262890683,-0.25881904510252063,100.0
normal,1,18,18,2.0218127865816338,38.60660124828331,0.09152586452877784,46.52122491831716,61.40921991554737,0.7072362335566459,25.303878722962313,30.07729619487951,58.13892447363257,-1.0,-1.8369701987210297e-16,100.0
normal,1,19,19,2.0218127865816338,38.60660124828331,0.09152586452877784,46.28859190471312,57.69002725641017,0.636711544258966,29.22861752304115,30.055703044860238,51.841215917659945,-0.9659258262890684,0.2588190451025203,100.0
normal,1,20,20,2.0218127865816338,38.60660124828331,0.09152586452877784,39.99199612724878,49.993851878715155,0.5493960651106183,27.621563523256075,29.672669482218044,57.73427453028424,-0.8660254037844386,0.5000000000000001,100.0
normal,1,21,21,2.0218127865816338,38.60660124828331,0.09152586452877784,33.36722009629844,40.042901081517584,0.5054158912351485,23.946818466726196,31.270832173298793,57.073794665961174,-0.7071067811865477,0.7071067811865474,100.0
normal,1,22,22,2.0218127865816338,38.60660124828331,0.09152586452877784,24.753284970037928,36.06367753829938,0.47467677213256626,19.97661859876993,30.92830765275885,54.48442406056666,-0.5000000000000004,0.8660254037844384,100.0
